"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn53176409","PZ032_rhythmPA.wav","1","audio/wav","226604","3485738","1702906001155","3485738","1702906001155","syn53176264","https://www.synapse.org/#!Synapse:syn53176409.1","77bbd7ef619961dbab8ea324945b91cd"
"syn53174990","CT001_phonationA.wav","1","audio/wav","227244","3485738","1702902564660","3485738","1702902564660","syn53174987","https://www.synapse.org/#!Synapse:syn53174990.1","cedb3aa6c104343a9837520368b78f92"
"syn53176067","PZ040_rhythmKA.wav","1","audio/wav","227244","3485738","1702905513167","3485738","1702905513167","syn53175914","https://www.synapse.org/#!Synapse:syn53176067.1","be08af6513cab6ea3dea6bb4a4adc8da"
"syn53175356","CT004_phonationI.wav","1","audio/wav","227884","3485738","1702903671663","3485738","1702903671663","syn53175354","https://www.synapse.org/#!Synapse:syn53175356.1","a7e8cb15d292cfcdf1edd1eb5e0dac6f"
"syn53175591","CT055_phonationO.wav","1","audio/wav","227884","3485738","1702904312406","3485738","1702904312406","syn53175548","https://www.synapse.org/#!Synapse:syn53175591.1","18eb822a49366c5d2120ed09d6b8638b"
"syn53175300","PZ073_phonationE.wav","1","audio/wav","229164","3485738","1702903296533","3485738","1702903296533","syn53175169","https://www.synapse.org/#!Synapse:syn53175300.1","6ced1500a61137c97ddced1ba40abb0e"
"syn53175787","CT068_phonationU.wav","1","audio/wav","229164","3485738","1702904738646","3485738","1702904738646","syn53175731","https://www.synapse.org/#!Synapse:syn53175787.1","29e5da55953b5c82058063995f274c8c"
"syn53175081","PZ032_phonationA.wav","1","audio/wav","230444","3485738","1702902738823","3485738","1702902738823","syn53174987","https://www.synapse.org/#!Synapse:syn53175081.1","28b0f4eba05ee9a236fe664d33898e49"
"syn53175197","CT043_phonationE.wav","1","audio/wav","230444","3485738","1702903086692","3485738","1702903086692","syn53175169","https://www.synapse.org/#!Synapse:syn53175197.1","5d685802b67e8c0418384b1972733eda"
"syn53175495","PZ080_phonationI.wav","1","audio/wav","230444","3485738","1702903959918","3485738","1702903959918","syn53175354","https://www.synapse.org/#!Synapse:syn53175495.1","a75713ed9c589819ded2a7cb632d28d4"
"syn53175602","CT065_phonationO.wav","1","audio/wav","230444","3485738","1702904335000","3485738","1702904335000","syn53175548","https://www.synapse.org/#!Synapse:syn53175602.1","4d1c25f5fc2be3cb1bc3fa5df3fbd715"
"syn53175427","PZ014_phonationI.wav","1","audio/wav","231724","3485738","1702903820895","3485738","1702903820895","syn53175354","https://www.synapse.org/#!Synapse:syn53175427.1","d50e743c7f2c149dbf2062c19b4ae08c"
"syn53175597","CT060_phonationO.wav","1","audio/wav","231724","3485738","1702904323697","3485738","1702904323697","syn53175548","https://www.synapse.org/#!Synapse:syn53175597.1","faf1e01ebb2032cae8f777c0717b845e"
"syn53175839","PZ053_phonationU.wav","1","audio/wav","231724","3485738","1702904845849","3485738","1702904845849","syn53175731","https://www.synapse.org/#!Synapse:syn53175839.1","070d7184c534499d82470e78cb80ad71"
"syn53175885","PZ100_phonationU.wav","1","audio/wav","231724","3485738","1702904939602","3485738","1702904939602","syn53175731","https://www.synapse.org/#!Synapse:syn53175885.1","3ef894618a2dc07d24dbb2a862ef2eef"
"syn53176849","PZ019_rhythmTA.wav","1","audio/wav","231724","3485738","1702906824844","3485738","1702906824844","syn53176762","https://www.synapse.org/#!Synapse:syn53176849.1","8ff875619b3f59810186990e0c8a117c"
"syn53175144","PZ098_phonationA.wav","1","audio/wav","232364","3485738","1702902861329","3485738","1702902861329","syn53174987","https://www.synapse.org/#!Synapse:syn53175144.1","cd5daf40b44bf146c998115c8bcf428b"
"syn53175516","PZ099_phonationI.wav","1","audio/wav","232364","3485738","1702903999492","3485738","1702903999492","syn53175354","https://www.synapse.org/#!Synapse:syn53175516.1","134105924394058f256525948d6991b0"
"syn53176081","PZ048_rhythmKA.wav","1","audio/wav","232364","3485738","1702905523977","3485738","1702905523977","syn53175914","https://www.synapse.org/#!Synapse:syn53176081.1","b0c25df4346f4c11285f696ba9151256"
"syn53176115","PZ061_rhythmKA.wav","1","audio/wav","232364","3485738","1702905553917","3485738","1702905553917","syn53175914","https://www.synapse.org/#!Synapse:syn53176115.1","1a8028740b78d33b79ad009623045cc8"
"syn53175010","CT035_phonationA.wav","1","audio/wav","233004","3485738","1702902603568","3485738","1702902603568","syn53174987","https://www.synapse.org/#!Synapse:syn53175010.1","a5f4e32f85d19ca97f9fa3cb093b3eb2"
"syn53175153","PZ107_phonationA.wav","1","audio/wav","233004","3485738","1702902878228","3485738","1702902878228","syn53174987","https://www.synapse.org/#!Synapse:syn53175153.1","8594e858de99802efc6e206196352ba4"
"syn53175269","PZ043_phonationE.wav","1","audio/wav","233004","3485738","1702903232166","3485738","1702903232166","syn53175169","https://www.synapse.org/#!Synapse:syn53175269.1","f58daee29d8455390b922526e841e51f"
"syn53175951","CT052_rhythmKA.wav","1","audio/wav","233644","3485738","1702905392276","3485738","1702905392276","syn53175914","https://www.synapse.org/#!Synapse:syn53175951.1","7fad8aaed18786d28a90b07cde5a91b5"
