Feature,Normality Speech Normal,Mean Speech Normal,Std Speech Normal,Median Speech Normal,IQR Speech Normal,Normality Speech Impaired,Mean Speech Impaired,Std Speech Impaired,Median Speech Impaired,IQR Speech Impaired,p-value Speech,Normality Swallowing Normal,Mean Swallowing Normal,Std Swallowing Normal,Median Swallowing Normal,IQR Swallowing Normal,Normality Swallowing Impaired,Mean Swallowing Impaired,Std Swallowing Impaired,Median Swallowing Impaired,IQR Swallowing Impaired,p-value Swallowing,Normality Bulbar 0,Mean Bulbar 0,Std Bulbar 0,Median Bulbar 0,IQR Bulbar 0,Normality Bulbar 1,Mean Bulbar 1,Std Bulbar 1,Median Bulbar 1,IQR Bulbar 1,Normality Bulbar 2,Mean Bulbar 2,Std Bulbar 2,Median Bulbar 2,IQR Bulbar 2,Normality Bulbar 3,Mean Bulbar 3,Std Bulbar 3,Median Bulbar 3,IQR Bulbar 3,Normality Bulbar 4,Mean Bulbar 4,Std Bulbar 4,Median Bulbar 4,IQR Bulbar 4,F-stat,p-value,p-value 0 vs. 1,p-value 0 vs. 2,p-value 0 vs. 3,p-value 0 vs. 4,p-value 1 vs. 2,p-value 1 vs. 3,p-value 1 vs. 4,p-value 2 vs. 3,p-value 2 vs. 4,p-value 3 vs. 4
hnr_max_i,True,38.291996612533836,10.835435174813624,36.32521305421882,14.002915853344387,True,38.41929627360141,9.944180788483015,36.23566842791574,13.173138892332258,0.9517646831953719,True,38.434749518898116,10.77170982516294,36.32521305421882,13.246866376184816,True,38.2491834528712,9.94713319011835,36.23566842791574,13.061444126735207,0.929777562876146,True,40.90401743325165,11.167535057782622,40.06546866113106,13.914612837950116,True,34.93451436171344,8.867209816657066,33.18615417693812,12.66232227673975,True,38.57007696323083,9.566756786070957,36.27384098322516,8.849129857697825,False,37.8787307391958,10.03124289827806,36.19749587260632,18.99365888221852,True,41.61444535803351,10.804044396741114,41.626253039903204,11.906606377436411,5.296392215896503,0.25821485236221337,,,,,,,,,,
cpp_i,False,11.12648003351602,6.468887596964643,9.536828389108429,10.567220416092937,False,11.558071198033693,5.459991803803462,10.102311446447718,7.880471047929129,0.4880687092856162,False,11.226150535605854,6.372614423020631,9.475863338499693,10.567220416092937,False,11.470453392148238,5.510274595733016,10.340907572407835,8.000781762841626,0.6097825691659908,False,10.78015116919007,6.1590006656070955,9.004926143468353,10.499373999348443,True,10.766918170114543,5.830304187787527,9.857301360185751,8.25990813855571,True,13.002358568292085,6.3738022671969965,15.14162416238756,10.9310662834236,True,10.396228460237607,4.615000730405489,9.87880205166661,5.728553169987414,True,14.858854887533246,6.016523569406643,11.86597980408568,8.867769129426168,4.481039315842224,0.3448016507209048,,,,,,,,,,
cp_i,False,71.29707422383414,2.925671722064883,70.8688981116859,3.8721102118709325,True,71.09205428525141,2.7493601833742143,70.95005670313385,3.0959186916084036,0.5786231472463071,False,71.25661945607939,2.8989055486229782,70.84485629574036,4.0432620004770286,True,71.12490399524994,2.771384006555967,71.03253170965141,2.97106588114643,0.762603342911582,True,71.28499853760927,2.6797797634261884,70.84361729124542,4.173263145366121,True,70.81149603775764,3.1792277190825122,70.65469572294356,3.507747593625865,True,71.00708167669474,2.895525969578659,70.78469071691057,3.769772546903411,True,71.07528486689878,1.7394936287163123,70.96856363037678,2.4065197197850097,True,72.88547520241714,3.0806501741764287,71.78918535620181,3.6627617856520516,0.8628739468816811,0.48926996565385783,,,,,,,,,,
f1_mean_i,False,331.1444851341312,54.92376034584175,329.1397668168935,58.879991450986836,False,357.58468343816156,72.5282392140436,350.7729880063636,81.7094968127081,0.07120343563999014,False,334.20816448300286,71.50207672979967,321.8830453681069,64.0837557849324,True,356.08910956723673,54.08542655015735,350.7729880063636,76.97559153796118,0.018399084334375447,True,335.571460577328,51.92317638882313,336.0979953916695,51.43785435871388,True,334.17045903257684,59.87630077775099,321.8505977295101,75.03495310234922,True,338.54960232975736,42.52342835878527,348.5051644874009,64.06506738442249,False,375.2383186816058,98.67388033389716,353.0408115253263,92.97810919535073,True,365.0894990542416,64.44693291212567,343.71704180924274,117.07579851621932,2.8558526956913965,0.5822305302430075,,,,,,,,,,
f2_mean_i,False,1743.9406718596308,329.1828690237877,1812.7741289066475,539.9155665932446,True,1590.876711688957,353.0501373945045,1636.405942089501,428.78307689409644,0.02342484208841456,False,1758.6507697342265,336.1852266028888,1840.8537018105615,566.4229495008399,True,1558.2398634694102,333.15628312612995,1578.4324300489084,378.0831724251725,0.0023272433133956446,False,1709.1206795059247,292.66543856749007,1798.896724136843,411.53475519023596,True,1731.6126081731534,336.78892746162967,1838.449326137114,563.0920601967562,True,1691.5419086460474,337.24882469316617,1816.902308508372,493.7223977321271,True,1583.185298952156,366.29640484112196,1654.400084009305,398.7643217765435,True,1403.5249405033114,434.91757940016953,1322.0437407582722,520.3509962960841,5.644510793262953,0.227315870151056,,,,,,,,,,
f3_mean_i,True,2464.112973346097,148.48839149068635,2458.6588388725345,261.0635181613784,True,2359.8118127640196,186.65250259049262,2358.6733156073487,244.22084417806627,0.0030578183763665476,True,2452.97189427494,145.9152861081662,2438.1468874121438,247.05492587862182,True,2364.509444256213,196.8626847236903,2356.9284157695893,312.150101957463,0.015953449652334244,True,2402.1586249077814,163.73824457419016,2375.54037780259,160.42696709832535,True,2426.7592343089777,145.72583560078306,2410.326828273211,179.15359179495408,True,2471.288755417444,170.6661574062231,2474.382874412865,196.0011138412492,True,2383.204979917393,210.0584377854961,2364.437447873847,313.4024126239119,True,2378.655277743408,231.89967508510728,2333.7073847512283,400.42146387872526,0.6033162717227661,0.6611774923771654,,,,,,,,,,
f1_std_i,False,36.74475213123485,24.164513395470934,30.710054201560226,27.844633994927477,False,47.48600604780878,25.227966072961415,41.88121914082868,32.20658676364737,0.010169712629313706,False,36.8607523877529,23.272629986248553,30.710054201560226,21.45903895328699,False,48.31484698647433,26.211664949726302,43.82100849601868,31.8981511319358,0.013830060390640896,False,41.74565767961402,26.784702587908896,33.71659847041652,33.723555391962186,True,35.66714657573812,16.310773077819558,32.32019894906172,20.858024357640044,False,38.49475415939207,25.242654727065748,33.11668527855551,20.525829322167542,False,50.4648192993199,29.179272707051588,41.79502127538391,50.68890282723811,True,56.17038253524917,29.006418265394537,54.094625135346924,33.29841149895307,4.203874416225688,0.37911701079145116,,,,,,,,,,
f2_std_i,False,289.3762605663045,191.553966906191,244.07420889381245,221.11466328885146,False,298.76622646246676,144.80822133892786,293.30623108811795,163.5330247632284,0.34279383681264275,False,271.1240560141605,174.2698845650212,229.39727772827263,179.7115082345216,True,322.84993824666475,161.6758376324149,319.29185099171696,197.22668495176504,0.04295210730933768,False,338.78704384789256,190.30245825101943,312.9265180007484,154.3596811462941,False,237.00864948118422,137.2969786301083,204.9822330802394,144.38389204318605,True,343.62789149081647,185.7511683403938,372.7619898567954,290.87052583227336,True,240.40514150044473,138.69763286439942,233.3780852348216,163.75227483715875,True,348.4830158577229,129.64922568047373,352.2963516260967,134.81128700108326,10.670682759591102,0.030525353463322327,,,,,,,,,,
f3_std_i,False,128.41729045122878,82.96395897449075,104.67713061429521,100.25028474852624,False,158.1884336539118,86.85474713287006,137.0483656456012,105.77539602848576,0.03751164100379187,False,127.2611257270929,86.35663948167533,97.74235898087825,103.34331920716727,False,162.36638359396494,81.76397539103688,149.09986116803475,83.6709169334484,0.004559338923570306,False,151.29410045081048,91.41263471981046,127.203760618304,117.34825740594377,False,122.77596268340034,73.10195468275077,99.72573170068594,90.26264751978026,False,162.74223144102874,121.83150998695812,129.1122316086654,167.2455366937034,True,141.77804896682034,67.48541397305354,131.1670146548345,96.53890826136109,True,153.7080021942284,48.09123063929784,161.6483572022401,86.84723645401093,2.769655316896433,0.59708201448537,,,,,,,,,,
f1_median_i,True,330.0475861840263,58.12114496624253,323.5771714097323,57.88497650206591,False,356.6735074356837,75.06300340346911,337.70490943779464,79.58043821560295,0.0756372943715049,False,333.1800090265983,74.08052234790853,321.82207451979696,68.63186160446332,True,355.10732574983354,57.33427440006141,340.30440990180307,74.4702775851166,0.019098676981316592,True,334.30691771557434,55.733199655341764,330.599460246502,53.385630443126104,False,334.61649061355115,62.85970962050592,321.8242921133391,77.20283630090972,True,336.92286754720004,44.99448672666419,341.2751620650771,61.65665706059093,False,371.8682875051347,98.41855703246434,365.297542477503,76.8339599141961,True,364.94271926969054,75.57989725961895,332.92065983915506,140.46047951956814,2.278515499192622,0.684683338811894,,,,,,,,,,
